
2025/01/09 (11:53:40) | ===> btop++ v.1.4.0
2025/01/09 (11:53:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (12:45:16) | ===> btop++ v.1.4.0
2025/01/12 (12:45:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (11:45:48) | ===> btop++ v.1.4.0
2025/01/15 (11:45:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (11:46:02) | ===> btop++ v.1.4.0
2025/01/15 (11:46:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (15:17:21) | ===> btop++ v.1.4.0
2025/01/18 (15:17:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (15:26:49) | ===> btop++ v.1.4.0
2025/02/05 (15:26:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (18:12:35) | ===> btop++ v.1.4.0
2025/02/05 (18:12:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (12:18:35) | ===> btop++ v.1.4.0
2025/02/07 (12:18:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (12:19:06) | ===> btop++ v.1.4.0
2025/02/07 (12:19:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (09:49:48) | ===> btop++ v.1.4.0
2025/02/11 (09:49:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (09:50:14) | ===> btop++ v.1.4.0
2025/02/11 (09:50:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (09:50:22) | ===> btop++ v.1.4.0
2025/02/11 (09:50:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (09:50:41) | ===> btop++ v.1.4.0
2025/02/11 (09:50:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (09:51:30) | ===> btop++ v.1.4.0
2025/02/11 (09:51:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (09:52:56) | ===> btop++ v.1.4.0
2025/02/11 (09:52:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (12:29:09) | ===> btop++ v.1.4.0
2025/02/11 (12:29:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (14:12:04) | ===> btop++ v.1.4.0
2025/02/11 (14:12:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (19:53:40) | ===> btop++ v.1.4.0
2025/02/13 (19:53:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (21:53:48) | ===> btop++ v.1.4.0
2025/02/27 (21:53:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (21:54:06) | ===> btop++ v.1.4.0
2025/02/27 (21:54:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (12:46:29) | ===> btop++ v.1.4.0
2025/03/09 (12:46:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (12:48:27) | ===> btop++ v.1.4.0
2025/03/09 (12:48:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (12:48:37) | ===> btop++ v.1.4.0
2025/03/09 (12:48:37) | WARNING: Intel GPU: Failed to initialize PMU
